ERROR main com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR main com.atm.transaction.service.AccountServiceImpl - Invalid Account
ERROR main com.atm.transaction.service.AccountServiceImpl - Invalid Account
ERROR main com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR main com.atm.transaction.util.AtmUtils - Invalid amount entered, please enter multiples of 5
ERROR main com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR main com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Invalid amount entered, please enter multiples of 5
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Invalid amount entered, please enter multiples of 5
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Invalid amount entered, please enter multiples of 5
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Invalid amount entered, please enter multiples of 5
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Invalid amount entered, please enter multiples of 5
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Invalid amount entered, please enter multiples of 5
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Invalid amount entered, please enter multiples of 5
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Invalid amount entered, please enter multiples of 5
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
ERROR Test worker com.atm.transaction.util.AtmUtils - Invalid amount entered, please enter multiples of 5
ERROR Test worker com.atm.transaction.util.AtmUtils - Withdrawal amount should be between £20 and £250
